video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=d4LWK2Qgyyw&pp=ygUOY2xpbWF0ZSBjaGFuZ2U%3D,/@PBSNewsHour,PBS NewsHour,Latest climate assessment reveals how much climate change is costing Americans,22K,2 months,The National Climate Assessment shows America is warming faster than the global average with climate change impacting nearly ...,2024-01-29 19:46:52.112409
/watch?v=IhtysFlWz3k&pp=ygUOY2xpbWF0ZSBjaGFuZ2U%3D,/@globalnews,Global News,Earth breaches critical warming threshold,22K,2 months,"There is a new, troubling indicator about global warming from the Copernicus Climate Change Service (C3S). The service says ...",2024-01-29 19:46:52.113932
/watch?v=cn9PhiDJp-A&pp=ygUOY2xpbWF0ZSBjaGFuZ2U%3D,/@Hopscotchsongs,Hopscotch,Climate Change Song,4.8M,2 years,"Song by Matt & Joanna Pace, in partnership with Octopus Electric Vehicles Video animated by Dakota Sheperd and Jason McNeil ...",2024-01-29 19:46:52.115208
/watch?v=acyErLNL7kQ&pp=ygUOY2xpbWF0ZSBjaGFuZ2U%3D,/@HooverInstitution,Hoover Institution,Steven Koonin on The Limitations of Climate Change Models,118K,3 months,"Steven Koonin reviews the state of climate science, focusing on data trends, climate models, and the uncertainties involved.",2024-01-29 19:46:52.117299
/watch?v=oJWX3jVhrqg&pp=ygUOY2xpbWF0ZSBjaGFuZ2U%3D,/@TEDx,TEDx Talks,Facing the New Inconvenient Truth: Climate Change is Upon Us | David Mc Cauley | TEDxOltrarno,599K,3 months,"David Mc Cauley highlights the growing risks posed by our rapidly changing climate and the need to ramp up individual, ...",2024-01-29 19:46:52.118834
/watch?v=w-rEQLJEyTs&pp=ygUOY2xpbWF0ZSBjaGFuZ2U%3D,/@SimonClark,Simon Clark,2023: A Year In Climate Change,59K,1 month,REFERENCES www.simonoxfphys.com/blog/2023/12/22/references-for-my-2023-review-of-climate-change-news ---------- II ...,2024-01-29 19:46:52.120276
/watch?v=DkZ7BJQupVA&pp=ygUOY2xpbWF0ZSBjaGFuZ2U%3D,/@Vox,Vox,Why humans are so bad at thinking about climate change,2.4M,6 years,"The biggest problem for the climate change fight isn't technology – it's human psychology. This is the first episode of Climate Lab, ...",2024-01-29 19:46:52.122211
/watch?v=5CbGpWlPXws&pp=ygUOY2xpbWF0ZSBjaGFuZ2U%3D,/@NBCNews,NBC News,Will climate change ever be a bipartisan issue?,3.1K,4 days,"From flooding, to wildfires, to increasing temperatures, climate change has become a prevalent issue as more Americans, even ...",2024-01-29 19:46:52.123602
/watch?v=G4H1N_yXBiA&pp=ygUOY2xpbWF0ZSBjaGFuZ2U%3D,/@NatGeo,National Geographic,Causes and Effects of Climate Change | National Geographic,4.7M,6 years,"About National Geographic: National Geographic is the world's premium destination for science, exploration, and adventure.",2024-01-29 19:46:52.125439
/shorts/cKgAiWVnk6E,/@besmart,Be Smart,Climate change is turning sea turtles FEMALE?!,615K,3 weeks,"Another YouTube #shorts from your favorite science dad, Dr. Joe! Join us on Patreon! https://patreon.com/itsokaytobesmart ...",2024-01-29 19:46:52.126804
/watch?v=yiw6_JakZFc&pp=ygUOY2xpbWF0ZSBjaGFuZ2U%3D,/@kurzgesagt,Kurzgesagt – In a Nutshell,Can YOU Fix Climate Change?,13M,2 years,"Never before in human history have we been richer, more advanced or powerful. And yet we feel overwhelmed in the face of rapid ...",2024-01-29 19:46:52.128658
/watch?v=uynhvHZUOOo&pp=ygUOY2xpbWF0ZSBjaGFuZ2U%3D,/@TheEconomist,The Economist,See what three degrees of global warming looks like,3.6M,2 years,00:57 - Climate change is already having devastating effects 02:58 - How climate modelling works 04:06 - Nowhere is safe from ...,2024-01-29 19:46:52.130082
/watch?v=ScX29WBJI3w&pp=ygUOY2xpbWF0ZSBjaGFuZ2U%3D,/@EPAgov,U.S. Environmental Protection Agency,Climate Change Basics (OLD),829K,8 years,"NOTE: If you need captions, please click the CC button on the player to turn them on. This video provides an introduction to the ...",2024-01-29 19:46:52.131763
/watch?v=DqJpQ_UUmWM&pp=ygUOY2xpbWF0ZSBjaGFuZ2U%3D,/@ClimateAdam,ClimateAdam,Will 2024 be the Hottest Year Ever Recorded?,20K,2 weeks,"2023 shattered global temperature records, as climate change coupled with El Niño raised temperatures to sweltering levels.",2024-01-29 19:46:52.133097
/watch?v=dpvd9FensT8&pp=ygUOY2xpbWF0ZSBjaGFuZ2U%3D,/@astrumspace,Astrum,This Will Be My Most Disliked Video On YouTube | Climate Change,2.9M,4 months,Become a Patron today and support my channel! Donate link above. I can't do it without you. Thanks to those who have supported ...,2024-01-29 19:46:52.134382
/watch?v=G9t__9Tmwv4&pp=ygUOY2xpbWF0ZSBjaGFuZ2U%3D,/@Scienceabc,Science ABC,Climate Change and Global Warming: Explained in Simple Words for Beginners,166K,1 year,The term climate change is used to denote the long-term changes in the weather patterns in a given region. Another term often ...,2024-01-29 19:46:52.136413
/watch?v=MBKZWKeKYqE&pp=ygUOY2xpbWF0ZSBjaGFuZ2U%3D,/@pbsterra,PBS Terra,What Will Earth Look Like When These 6 Tipping Points Hit?,1.4M,1 year,"A “tipping point” is when a system, with just a small amount of additional energy, is pushed from one stable state to another ...",2024-01-29 19:46:52.137748
/watch?v=ztWHqUFJRTs&pp=ygUOY2xpbWF0ZSBjaGFuZ2U%3D,/@TEDEd,TED-Ed,Climate change: Earth's giant game of Tetris - Joss Fong,1.1M,9 years,"There's a game of Tetris happening on a global scale: The playing space is planet Earth, and all those pesky, stacking blocks ...",2024-01-29 19:47:02.545675
/watch?v=eHMLszamZ9w&pp=ygUOY2xpbWF0ZSBjaGFuZ2U%3D,/@SiemensKnowledgeHub,Siemens Knowledge Hub,What is climate change?,282K,6 years,1. Episode: What is climate change and is it real? Climate Change is the bad news story that isn't going away From heatwaves to ...,2024-01-29 19:47:02.547779
/watch?v=DjUr2HwdHwg&pp=ygUOY2xpbWF0ZSBjaGFuZ2U%3D,/@OurChangingClimate,Our Changing Climate,Why We Need Socialism,221K,2 weeks,"In this Our Changing Climate climate change video essay, I look a how and why socialism, specifically ecosocialism, is crucial to ...",2024-01-29 19:47:02.549785
/watch?v=myZAvqqp9Jc&pp=ygUOY2xpbWF0ZSBjaGFuZ2U%3D,/@ClimateScience,ClimateScience - Solve Climate Change,Climate Change: How does it really work? | ClimateScience #1,111K,3 years,"You've seen it in the news, heard it on the radio, maybe you even heard about it on TikTok but are you sure you truly know what ...",2024-01-29 19:47:02.551550
/shorts/QUCT90DyBh0,/@besmart,Be Smart,Climate Change explained in less than 1 minute!,323K,1 year,"Another YouTube #shorts from your favorite science dad, Dr. Joe Sources: https://ourworldindata.org/atmospheric-concentrations ...",2024-01-29 19:47:02.552931
/watch?v=9PFhrpyWV-w&pp=ygUOY2xpbWF0ZSBjaGFuZ2U%3D,/@crashcourse,CrashCourse,What is Climate Change?: Crash Course Climate & Energy #1,156K,1 year,"We know that temperatures on Earth have fluctuated dramatically in the past, but we also know that by burning fossil fuels we are ...",2024-01-29 19:47:02.554928
/watch?v=SLEenW2UiUw&pp=ygUOY2xpbWF0ZSBjaGFuZ2U%3D,/@BBCWorldService,BBC World Service,"What is climate change? - The Climate Question, BBC World Service",193K,2 months,Looking for a climate change 101? Here to help you brush up on the basics is Jordan Dunbar. Click here to subscribe to our ...,2024-01-29 19:47:02.556858
